PENDIDIKAN;JENIS KELAMIN;PEKERJAAN;PENGHASILAN PERBULAN (RP);KEPEMILIKAN RUMAH;ASET RUMAH DI LOKASI LAIN;KEPEMILIKAN TANAH;ASET TANAH DI LOKASI LAIN;SUMBER PENERANGAN;BANTUAN PERUMAHAN;JENIS KAWASAN;FUNGSI RUANG;PONDASI;KONDISI KOLOM;KONDISI RANGKA ATAP;KONDISI PLAFON;KONDISI BALOK;KONDISI SLOOF;JENDELA;VENTILASI;MATERIAL LANTAI TERLUAS;KONDISI LANTAI;MATERIAL DINDING TERLUAS;KONDISI DINDING;MATERIAL ATAP TERLUAS;KONDISI ATAP;LUAS RUMAH (M2);LUAH LAHAN (M2);JUMLAH PENGHUNI (JIWA);SUMBER AIR MINUM;JARAK SAM KE TPA TINJA;KAMAR MANDI DAN JAMBAN;JENIS JAMBAN/KLOSET;JENIS TPA TINJA
TIDAK PUNYA IJAZAH;LAKILAKI;PNS;0 - 1,2 JUTA;MILIK SENDIRI;ADA;MILIK SENDIRI;ADA;LISTRIK PLN DENGAN METERAN;BELUM PERNAH;DAERAH TERTINGGAL, TERPENCIL;PERUMAHAN;LAYAK;LAYAK;LAYAK;LAYAK;LAYAK;LAYAK;LAYAK;LAYAK;MARMER/GRANIT;LAYAK;TEMBOK;LAYAK;GENTENG;LAYAK;;;;PERPIPAAN;> 10 M;SENDIRI;LEHER ANGSA;TANGKI SEPTIK
SD/SEDERAJAT;PEREMPUAN;BUMN/D;1,3 - 1,8 JUTA;KONTRAK/SEWA;TIDAK ADA;BUKAN MILIK SENDIRI;TIDAK ADA;LISTRIK PLN TANPA METERAN;YA, < 10 TAHUN YANG LALU;KAWASAN KUMUH;NON PERUMAHAN;MENUJU LAYAK;MENUJU LAYAK;MENUJU LAYAK;MENUJU LAYAK;MENUJU LAYAK;MENUJU LAYAK;MENUJU LAYAK;MENUJU LAYAK;KERMAIK;MENUJU LAYAK;KAYU;MENUJU LAYAK;SENG;MENUJU LAYAK;;;;AIR KEMASAN/ISI ULANG;< 10 M;BERSAMA/MCK KOMUNAL;PLENGSENGAN;IPAL
SMP/SEDERAJAT;;TNI/POLRI;1,9 - 2,1 JUTA;BUKAN MILIK SENDIRI;;TANAH NEGARA;;LISTRIK NON PLN;YA, > 10 TAHUN YANG LALU;KAWASAN PERBATASAN;;AGAK LAYAK;AGAK LAYAK;AGAK LAYAK;AGAK LAYAK;AGAK LAYAK;AGAK LAYAK;AGAK LAYAK;AGAK LAYAK;UBIN/TEGEL;AGAK LAYAK;PLESTERAN;AGAK LAYAK;KAYU/SIRAP;AGAK LAYAK;;;;SUMUR;;TIDAK ADA;CEMPLUNG/CUBLUK;KOLAM/SAWAH/SINGAI/DANAU/LAUT
SMA/SEDERAJAT;;WIRAUSAHA;2,2 - 2,6 JUTA;;;;;BUKAN LISTRIK ;;KAWASAN PESISIR/NELAYAN;;KURANG LAYAK;KURANG LAYAK;KURANG LAYAK;KURANG LAYAK;KURANG LAYAK;KURANG LAYAK;KURANG LAYAK;KURANG LAYAK;PLESTERAN;KURANG LAYAK;BAMBU;KURANG LAYAK;IJUK;KURANG LAYAK;;;;MATA AIR;;;;LUBANG TANAH
D1/D2/D3;;KARYAWAN;2,7 - 3,1 JUTA;;;;;;;KAWASAN RAWAN AIR;;TIDAK LAYAK;TIDAK LAYAK;TIDAK LAYAK;TIDAK LAYAK;TIDAK LAYAK;TIDAK LAYAK;TIDAK LAYAK;TIDAK LAYAK;KAYU;TIDAK LAYAK;ANYAMAN BAMBU;TIDAK LAYAK;JERAMI;TIDAK LAYAK;;;;AIR HUJAN;;SENDIRI;;PANTAI/TANAH LAPANG/KEBUN
D/S1;;PETANI;3,2 -3,6 JUTA;;;;;;;KAWASAN TRANSMIGRASI;;;;;;;;;;BAMBU;;GRC;;RUMBIA;;;;;LAINNYA;;BERSAMA/MCK KOMUNAL;;
;;BURUH HARIAN;3,7 - 4,2 JUTA;;;;;;;KEK;;;;;;;;;;TANAH;;RUMBIA;;BAMBU;;;;;;;TIDAK ADA;;
;;NELAYAN;> 4,2 JUTA;;;;;;;KSPN;;;;;;;;;;;;LAINNYA;;DAUN-DAUNAN;;;;;;;;;
;;HONORER;;;;;;;;PULAU-PULAU KECIL/TERLUAR;;;;;;;;;;;;;;ASBES;;;;;;;;;
;;PENSIUNAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;OJEK/SOPIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;TUKANG/MONTIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;LANSIA/IRT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;PRAMUWISMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;LAINNYA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;TIDAK BEKERJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
